FAMSIZE,SEX,AGE,MARST,BIRTHYR,YRMARR,RACE,HISPAN,HCOVANY,EDUC,CLASSWKR,UHRSWORK,WORKEDYR,INCTOT,FTOTINC,INCWAGE,INCBUS00,INCWELFR,VETDISAB,DIFFHEAR,VETSTAT,DEPARTS,ARRIVES,GCHOUSE,WORK_STATUS,id
1,female,74,Widowed,1940,1985,white,0,1,College or greater,Works for wages,0,No,25600,25600,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,1
5,female,78,Married,1936,1951,Black,0,1,Less than high school,Works for wages,0,No,6400,133000,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,2
3,female,93,Widowed,1921,1947,white,0,1,Less than high school,Works for wages,0,No,21600,65700,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,3
2,male,67,Married,1947,1967,Black,0,1,High school,Works for wages,0,No,16800,46100,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,4
1,female,93,Widowed,1921,1987,white,0,1,Less than high school,Works for wages,0,No,8800,9999999,0,0,0,0,1,Not a veteran,NA,NA,0,Not in labor force,5
1,female,87,Widowed,1927,1953,white,0,1,High school,Works for wages,0,No,26000,26000,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,6
1,male,80,Divorced,1934,1986,white,0,1,Less than high school,Works for wages,0,No,0,9999999,0,0,0,1,1,Veteran,NA,NA,0,Not in labor force,7
2,female,70,Married,1944,1972,white,0,1,High school,Works for wages,25,Yes,20000,68400,12000,0,0,0,0,Not a veteran,PM,PM,0,Employed,8
2,male,79,Married,1935,1959,white,0,1,High school,Works for wages,0,No,1400,9000,0,0,0,1,1,Veteran,NA,NA,0,Not in labor force,9
3,female,70,Widowed,1944,1967,white,0,1,High school,Works for wages,0,No,25500,37950,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,10
2,male,68,Married,1946,1994,white,0,1,College or greater,Works for wages,0,"No, but worked 1-5 yrs age",47000,92500,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,11
1,female,73,Married,1941,2000,Black,0,1,High school,Works for wages,0,No,7000,7000,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,12
3,male,68,Married,1946,2001,white,0,1,College or greater,Works for wages,40,Yes,149660,184110,113000,0,0,0,0,Not a veteran,PM,PM,0,Employed,13
1,female,78,Never married,1936,0,white,0,1,College or greater,Works for wages,1,Yes,47500,47500,9000,0,0,0,0,Not a veteran,PM,PM,0,Employed,14
3,male,72,Never married,1942,0,white,0,1,Less than high school,Works for wages,0,No,16000,28000,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,15
2,male,76,Married,1938,1982,white,0,1,College or greater,Works for wages,0,"No, but worked 1-5 yrs age",57000,160400,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,16
1,male,66,Widowed,1948,1993,white,0,1,College or greater,Works for wages,0,"No, but worked 1-5 yrs age",14500,14500,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,17
1,female,65,Divorced,1949,1983,white,0,1,College or greater,Works for wages,15,Yes,63000,63000,5000,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,18
2,male,81,Widowed,1933,1955,white,0,1,Less than high school,Works for wages,0,"No, but worked 1-5 yrs age",1400,61400,0,0,0,1,1,Veteran,NA,NA,0,Not in labor force,19
2,female,71,Married,1943,1995,white,0,1,High school,Works for wages,20,Yes,30500,47300,5000,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,20
2,female,69,Married,1945,1964,white,0,1,High school,Works for wages,0,No,18700,46300,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,21
2,male,69,Married,1945,2001,white,0,1,High school,Works for wages,0,No,26820,59430,0,0,0,1,0,Not a veteran,NA,NA,0,Not in labor force,22
2,male,66,Married,1948,1980,white,0,1,College or greater,Works for wages,16,Yes,49004,99005,7000,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,23
4,male,68,Married,1946,1989,Otherse,0,1,College or greater,Works for wages,8,Yes,72600,130400,4600,0,0,3,0,Veteran,PM,PM,0,Employed,24
3,male,88,Married,1926,1971,white,0,1,High school,Works for wages,0,"No, but worked 1-5 yrs age",27100,76800,0,0,0,1,0,Veteran,NA,NA,0,Not in labor force,25
1,male,69,Widowed,1945,1960,white,0,1,College or greater,Works for wages,50,Yes,45000,45000,45000,0,0,0,0,Not a veteran,NA,NA,0,Employed,26
2,male,68,Married,1946,1984,white,0,1,College or greater,Self-employed,20,Yes,32000,82400,0,10000,0,1,0,Veteran,NA,NA,0,Employed,27
2,female,65,Married,1949,1967,white,0,1,College or greater,Works for wages,0,No,8400,67400,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,28
1,male,68,Never married,1946,0,Otherse,0,1,Less than high school,Works for wages,0,No,13000,9999999,0,0,0,0,1,Not a veteran,NA,NA,0,Not in labor force,29
2,female,70,Married,1944,1966,white,1,1,College or greater,Works for wages,27,Yes,73700,88700,49700,0,0,0,0,Not a veteran,PM,PM,0,Employed,30
1,female,72,Never married,1942,0,white,0,1,High school,Works for wages,0,No,6900,9999999,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,31
8,female,71,Widowed,1943,1986,white,0,1,Less than high school,Works for wages,0,No,12000,111500,0,0,0,0,0,Not a veteran,NA,NA,1,Not in labor force,32
2,female,73,Married,1941,1996,white,0,1,High school,Works for wages,0,No,16300,45300,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,33
1,male,67,Widowed,1947,1969,Black,0,1,College or greater,Works for wages,30,Yes,83200,83200,19000,0,0,0,0,Not a veteran,PM,PM,0,Employed,34
2,female,72,Married,1942,1983,white,0,1,High school,Works for wages,0,No,4800,22900,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,35
2,male,74,Married,1940,1965,white,0,1,High school,Works for wages,0,No,31000,39100,0,0,0,1,0,Veteran,NA,NA,0,Not in labor force,36
