id,FAMSIZE,SEX,AGE,MARST,BIRTHYR,YRMARR,RACE,HISPAN,HCOVANY,EDUC,CLASSWKR,UHRSWORK,WORKEDYR,INCTOT,FTOTINC,INCWAGE,INCBUS00,INCWELFR,DIFFHEAR,VETSTAT,DEPARTS,ARRIVES,GCHOUSE,WORK_STATUS,DIVINYR,WIDINYR
1,2,male,80,Married,1934,1953,white,0,1,College or greater,Works for wages,0,No,55000,96000,0,0,0,0,Veteran,NA,NA,0,Not in labor force,0,0
2,1,female,66,Widowed,1948,1963,white,0,1,High school,Works for wages,0,No,15700,15700,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
3,1,female,93,Widowed,1921,1947,white,0,1,Less than high school,Works for wages,0,No,21300,21300,0,0,0,1,Not a veteran,NA,NA,0,Not in labor force,0,0
4,2,female,71,Married,1943,1966,white,0,1,High school,Works for wages,0,"No, but worked 1-5 yrs age",10800,54700,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
5,1,male,67,Never married,1947,0,white,0,1,College or greater,Works for wages,0,No,15200,15200,0,0,0,1,Not a veteran,NA,NA,0,Not in labor force,NA,NA
6,2,female,65,Married,1949,1992,white,0,1,High school,Works for wages,0,No,3400,53400,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
7,1,female,69,Widowed,1945,1962,white,0,1,High school,Self-employed,0,"No, but worked 1-5 yrs age",37100,37100,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
8,2,female,81,Widowed,1933,1952,Black,0,1,College or greater,Works for wages,0,"No, but worked 1-5 yrs age",19200,25600,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
9,1,female,83,Widowed,1931,1953,Black,0,1,High school,Works for wages,0,No,8500,8500,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
10,5,female,76,Widowed,1938,1980,white,0,1,Less than high school,Works for wages,0,No,12000,60800,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
11,2,female,66,Widowed,1948,1988,Black,0,1,High school,Works for wages,0,No,15000,21500,0,0,0,0,Not a veteran,NA,NA,1,Not in labor force,0,0
12,4,male,73,Married,1941,1965,white,0,1,High school,Self-employed,40,Yes,15000,87200,0,3000,0,0,Veteran,PM,PM,1,Employed,0,0
13,1,female,81,Widowed,1933,1965,white,0,1,High school,Works for wages,0,No,15600,15600,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,1
14,2,female,65,Married,1949,1983,white,0,1,College or greater,Works for wages,40,Yes,56400,91800,42000,0,0,0,Veteran,PM,PM,0,Employed,0,0
15,2,male,68,Married,1946,1966,white,0,1,High school,Self-employed,0,No,24200,37300,0,0,0,1,Veteran,NA,NA,0,Not in labor force,0,0
16,1,male,72,Divorced,1942,1979,white,0,1,High school,Works for wages,0,No,16200,16200,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
17,2,male,68,Married,1946,1966,white,0,1,High school,Works for wages,0,No,57730,65130,0,0,0,1,Veteran,NA,NA,0,Not in labor force,0,0
18,2,male,75,Widowed,1939,1957,white,0,1,High school,Self-employed,0,No,48800,72800,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
19,2,male,71,Married,1943,1968,white,0,1,College or greater,Works for wages,0,No,1,1,0,0,0,1,Not a veteran,NA,NA,0,Not in labor force,0,0
20,1,female,80,Widowed,1934,1959,white,0,1,College or greater,Works for wages,0,No,73000,73000,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,1
21,1,male,81,Divorced,1933,1978,white,0,1,High school,Works for wages,0,No,12700,12700,0,0,0,0,Veteran,NA,NA,0,Not in labor force,0,0
22,3,female,83,Married,1931,1967,white,0,1,High school,Works for wages,0,No,8500,89800,0,0,0,0,Not a veteran,NA,NA,1,Not in labor force,0,0
23,3,male,70,Married,1944,1966,white,0,1,High school,Works for wages,0,No,49000,58890,0,0,0,1,Veteran,NA,NA,0,Not in labor force,0,0
