"","id","FAMSIZE","SEX","AGE","MARST","BIRTHYR","YRMARR","RACE","HISPAN","HCOVANY","EDUC","UHRSWORK","WORKEDYR","INCTOT","FTOTINC","INCWAGE","INCBUS00","INCWELFR","VETSTAT","DEPARTS","ARRIVES","GCHOUSE","WORK_STATUS"
"1",1,2,"male",74,"Married",1940,1967,"Otherse",0,1,"College or greater",0,"No",13600,24700,0,0,0,"Veteran",NA,NA,0,"Not in labor force"
"2",2,2,"male",68,"Married",1946,1965,"white",0,1,"High school",55,"Yes",41100,50600,30000,0,0,"Veteran",NA,NA,0,"Not in labor force"
"3",3,2,"male",66,"Married",1948,1977,"white",0,1,"High school",24,"Yes",89000,89000,80000,0,0,"Not a veteran","PM","PM",0,"Employed"
"4",4,2,"male",87,"Married",1927,1954,"Black",0,1,"High school",0,"No",2400,38000,0,0,0,"Veteran",NA,NA,0,"Not in labor force"
"5",5,2,"female",75,"Married",1939,1959,"white",0,1,"High school",0,"No",9500,20700,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"6",6,2,"female",66,"Married",1948,1965,"Black",0,1,"College or greater",35,"Yes",15000,18800,15000,0,0,"Not a veteran","PM","PM",0,"Employed"
"7",7,2,"male",76,"Married",1938,1960,"white",0,1,"High school",32,"Yes",20000,29000,9800,0,0,"Not a veteran","PM","PM",0,"Employed"
"8",8,3,"female",86,"Widowed",1928,1946,"white",0,1,"High school",0,"No",12000,56000,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"9",9,2,"male",68,"Never married",1946,0,"white",0,1,"Less than high school",0,"No",15000,34200,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"10",10,2,"female",80,"Widowed",1934,1989,"Black",0,1,"College or greater",0,"No",6000,8300,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"11",11,1,"female",70,"Widowed",1944,1964,"white",0,1,"High school",38,"Yes",51500,51500,30800,0,0,"Not a veteran","PM","PM",0,"Employed"
"12",12,1,"female",80,"Widowed",1934,1952,"white",0,1,"College or greater",0,"No",20900,20900,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"13",13,1,"female",80,"Widowed",1934,1953,"white",0,1,"High school",0,"No",11300,11300,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"14",14,1,"female",82,"Widowed",1932,1949,"white",0,1,"High school",0,"No",12000,12000,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"15",15,1,"female",86,"Widowed",1928,1965,"white",0,1,"High school",0,"No",145500,145500,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"16",16,2,"female",78,"Married",1936,2004,"white",0,1,"High school",0,"No",13100,32900,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"17",17,2,"male",66,"Married",1948,1974,"white",0,1,"High school",0,"No",36000,36000,0,0,0,"Veteran",NA,NA,0,"Not in labor force"
"18",18,2,"male",66,"Married",1948,1968,"white",0,1,"College or greater",0,"No, but worked 1-5 yrs age",45600,93440,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"19",19,2,"male",68,"Married",1946,1983,"Black",0,1,"High school",0,"No",10600,24200,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"20",20,1,"female",66,"Divorced",1948,1995,"white",0,1,"High school",40,"Yes",39200,39200,37600,0,0,"Not a veteran","PM","PM",0,"Employed"
"21",21,2,"female",72,"Married",1942,2013,"white",0,1,"High school",0,"No",6000,18400,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"22",22,1,"female",67,"Divorced",1947,1988,"white",0,1,"College or greater",25,"Yes",57900,57900,25000,0,0,"Not a veteran","PM","PM",0,"Employed"
