FAMSIZE,ELDCH,SEX,AGE,MARST,BIRTHYR,MARRNO,MARRINYR,YRMARR,DIVINYR,WIDINYR,RACE,HISPAN,SPEAKENG,RACNUM,HCOVANY,HCOVPRIV,HINSEMP,HINSPUR,HCOVPUB,HINSCAID,HINSCARE,HINSVA,HINSIHS,EDUC,EMPSTAT,LABFORCE,CLASSWKR,WKSWORK2,UHRSWORK,WRKLSTWK,ABSENT,LOOKING,AVAILBLE,WORKEDYR,INCTOT,FTOTINC,INCWAGE,INCBUS00,INCWELFR,VETDISAB,DIFFHEAR,VETSTAT,VETSTATD,VET01LTR,VET90X01,VET75X90,VETVIETN,VET55X64,VETKOREA,VET47X50,VETWWII,VETOTHER,TRANWORK,CARPOOL,RIDERS,TRANTIME,DEPARTS,ARRIVES,GCHOUSE,GCMONTHS,GCRESPON
2,99,1,80,1,1934,1,1,1953,1,1,1,0,3,1,2,2,1,2,2,1,2,2,1,7,3,1,0,0,0,1,1,1,5,1,55000,96000,0,0,0,1,1,2,20,1,1,1,1,1,2,1,1,1,0,0,0,0,0,0,1,0,0
1,99,2,66,5,1948,1,1,1963,1,1,1,0,3,1,2,1,1,1,2,1,2,1,1,6,3,1,0,0,0,1,1,1,5,1,15700,15700,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,99,2,93,5,1921,1,1,1947,1,1,1,0,3,1,2,1,1,1,2,2,2,1,1,2,3,1,0,0,0,1,1,1,5,1,21300,21300,0,0,0,0,2,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,99,2,71,1,1943,1,1,1966,1,1,1,0,3,1,2,2,1,2,2,1,2,1,1,6,3,1,2,0,0,1,1,1,5,2,10800,54700,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,99,1,67,6,1947,0,0,0,0,0,1,0,3,1,2,2,1,2,2,1,2,1,1,7,3,1,0,0,0,1,1,1,5,1,15200,15200,0,0,0,0,2,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,99,2,65,1,1949,3,1,1992,1,1,1,0,3,1,2,1,1,1,2,1,2,1,1,6,3,1,0,0,0,1,1,1,3,1,3400,53400,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,99,2,69,5,1945,1,1,1962,1,1,1,0,3,1,2,2,1,2,2,2,2,1,1,5,3,1,1,0,0,1,1,1,5,2,37100,37100,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,48,2,81,5,1933,1,1,1952,1,1,2,0,3,1,2,1,1,1,2,1,2,1,1,8,3,1,2,0,0,1,1,1,5,2,19200,25600,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,99,2,83,5,1931,2,1,1953,1,1,2,0,3,1,2,1,1,1,2,2,2,1,1,6,3,1,0,0,0,1,1,1,5,1,8500,8500,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,99,2,76,5,1938,1,1,1980,1,1,1,0,3,1,2,2,1,2,2,1,2,1,1,2,3,1,0,0,0,1,1,1,5,1,12000,60800,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,99,2,66,5,1948,2,1,1988,1,1,2,0,3,1,2,1,1,1,2,1,2,1,1,6,3,1,0,0,0,1,1,1,5,1,15000,21500,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2
1,99,2,74,5,1940,2,1,1985,1,1,1,0,3,1,2,2,1,2,2,1,2,1,1,8,3,1,0,0,0,1,1,1,5,1,25600,25600,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,44,1,73,1,1941,1,1,1965,1,1,1,0,3,1,2,2,2,1,2,1,2,1,1,6,1,2,1,6,40,2,4,3,5,3,15000,87200,0,3000,0,1,1,2,20,1,1,1,1,2,1,1,1,1,10,1,1,5,602,609,2,0,1
